,user,attacktype,attacker,sensors,nfeatures,hlayers,activation,solver,alpha,learning_rate,far,frr,hter,refhter
137874,User52,dict-effort,I7_speed3_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137875,User52,dict-effort,I7_swidth_close,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.06666666666666667,0.05063291139240506,0.05864978902953587,0.05077100115074799
137876,User52,dict-effort,I7_swidth_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137877,User52,dict-effort,I7_swidth_wide,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.8666666666666667,0.05063291139240506,0.4586497890295359,0.05077100115074799
137878,User52,dict-effort,I7_swidth_wider,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.5625,0.05063291139240506,0.30656645569620256,0.05077100115074799
137879,User52,dict-effort,I7_tlift_back,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.16666666666666666,0.05063291139240506,0.10864978902953586,0.05077100115074799
137880,User52,dict-effort,I7_tlift_front,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137881,User52,dict-effort,I7_tlift_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137882,User52,dict-effort,I7_tlift_up,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137883,User52,dict-effort,I8_slength_long,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.15,0.05063291139240506,0.10031645569620253,0.05077100115074799
137884,User52,dict-effort,I8_slength_longer,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137885,User52,dict-effort,I8_slength_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137886,User52,dict-effort,I8_slength_short,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137887,User52,dict-effort,I8_speed1_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.047619047619047616,0.05063291139240506,0.049125979505726336,0.05077100115074799
137888,User52,dict-effort,I8_speed1_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.08695652173913043,0.05063291139240506,0.06879471656576774,0.05077100115074799
137889,User52,dict-effort,I8_speed1_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.1111111111111111,0.05063291139240506,0.08087201125175808,0.05077100115074799
137890,User52,dict-effort,I8_speed2_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.1111111111111111,0.05063291139240506,0.08087201125175808,0.05077100115074799
137891,User52,dict-effort,I8_speed2_2,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.11764705882352941,0.05063291139240506,0.08413998510796723,0.05077100115074799
137892,User52,dict-effort,I8_speed2_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137893,User52,dict-effort,I8_speed2_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137894,User52,dict-effort,I8_speed2_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137895,User52,dict-effort,I8_speed3_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137896,User52,dict-effort,I8_swidth_close,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137897,User52,dict-effort,I8_swidth_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137898,User52,dict-effort,I8_swidth_wide,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.6470588235294118,0.05063291139240506,0.34884586746090845,0.05077100115074799
137899,User52,dict-effort,I8_swidth_wider,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.09523809523809523,0.05063291139240506,0.07293550331525014,0.05077100115074799
137900,User52,dict-effort,I8_tlift_back,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137901,User52,dict-effort,I8_tlift_front,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.10526315789473684,0.05063291139240506,0.07794803464357095,0.05077100115074799
137902,User52,dict-effort,I8_tlift_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
